# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
        1.11339975                0.019          0 
        1.11439117               -0.047          0 
        1.11323774               -0.022          0 
        1.11266624                0.073          0 
        1.11504198                0.004          0 
        1.11515935                -0.05          0 
        1.11306282               -0.011          0 
        1.11262256               -0.032          0 
        1.11181441                 0.01          0 
        1.11216853               -0.031          0 
        1.11112213               -0.084          0 
        1.10929392                0.006          0 
        1.10957776               -0.049          0 
        1.10840474               -0.004          0 
        1.10828702                0.022          0 
         1.1094224               -0.023          0 
        1.10871555                0.001          0 
        1.10874652               -0.053          0 
        1.10799739               -0.038          0 
        1.10679546               -0.038          0 
          1.105776                0.008          0 
         1.1061105                0.003          0 
        1.10622487                0.021          0 
        1.10705127               -0.018          0 
        1.10650581               -0.049          0 
        1.10534533               -0.008          0 
        1.10512982                0.002          0 
        1.10519531               -0.004          0 
        1.10504939               -0.051          0 
         1.1040241               -0.019          0 
        1.10331773               -0.066          0 
        1.10068834               -0.003          0 
        1.10054441               -0.035          0 
        1.09952093               -0.058          0 
        1.09810775               -0.021          0 
        1.09767687                0.001          0 
        1.09772713               -0.032          0 
        1.09669666                0.016          0 
        1.09718729                0.039          0 
        1.09866229                0.013          0 
        1.09926219                -0.03          0 
        1.09830525               -0.041          0 
        1.09712919                0.041          0 
         1.0992132                0.025          0 
        1.10022474                 0.03          0 
        1.10184346                0.019          0 
        1.10255355                0.018          0 
        1.10325487                0.043          0 
        1.10468503               -0.036          0 
        1.10350719               -0.011          0 
         1.1032043                0.041          0 
        1.10522324               -0.002          0 
        1.10516107               -0.043          0 
